Facility_ID,Disease,Season,Mean,SD,Threshold_95,Threshold_99,Num_Weeks_Used
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,17
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,29
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,38
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-10_G-10,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,11
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-10_G-10,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-10_G-10,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,29
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-10_G-10,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,36
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-5 Medical Centre_G-5 Medical Centre,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,14
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-5 Medical Centre_G-5 Medical Centre,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-5 Medical Centre_G-5 Medical Centre,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-5 Medical Centre_G-5 Medical Centre,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,27
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-7 Medical Centre_G-7 Medical Centre,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,11
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-7 Medical Centre_G-7 Medical Centre,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,30
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-7 Medical Centre_G-7 Medical Centre,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,25
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-7 Medical Centre_G-7 Medical Centre,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-9 Medical Centre_G-9 Medical Centre,Measles (New Cases),Autumn,0.045454545454545456,0.21320071635561041,0.6850566945213766,0.7916570526991819,22
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-9 Medical Centre_G-9 Medical Centre,Measles (New Cases),Spring,0.030303030303030304,0.17407765595569782,0.5525359981701238,0.6395748261479727,33
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-9 Medical Centre_G-9 Medical Centre,Measles (New Cases),Summer,0.022222222222222223,0.14907119849998596,0.46943581772218007,0.5439714169721731,45
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_G-9 Medical Centre_G-9 Medical Centre,Measles (New Cases),Winter,0.02631578947368421,0.16222142113076252,0.5129800528659717,0.594090763431353,38
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-10 Medical Centre_I-10 Medical Centre,Measles (New Cases),Autumn,0.08333333333333333,0.28867513459481287,0.949358737117772,1.0936963044151782,12
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-10 Medical Centre_I-10 Medical Centre,Measles (New Cases),Spring,0.03225806451612903,0.17960530202677488,0.5710739705964536,0.6608766216098411,31
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-10 Medical Centre_I-10 Medical Centre,Measles (New Cases),Summer,0.034482758620689655,0.18569533817705186,0.5915687731518452,0.6844164422403711,29
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-10 Medical Centre_I-10 Medical Centre,Measles (New Cases),Winter,0.02564102564102564,0.16012815380508713,0.506025487056287,0.5860895639588306,39
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-8 Medical Centre_I-8 Medical Centre,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,17
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-8 Medical Centre_I-8 Medical Centre,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-8 Medical Centre_I-8 Medical Centre,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,43
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_I-8 Medical Centre_I-8 Medical Centre,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,38
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_Rawal Town_Rawal Town,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_Rawal Town_Rawal Town,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_Rawal Town_Rawal Town,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,42
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_Rawal Town_Rawal Town,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,33
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_BHU Shahdra_BHU Shahdra,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_BHU Shahdra_BHU Shahdra,Measles (New Cases),Spring,0.0625,0.2459346884189824,0.8003040652569472,0.9232714094664384,32
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_BHU Shahdra_BHU Shahdra,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,40
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_BHU Shahdra_BHU Shahdra,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_CHH Bari Imam_CHH Bari Imam,Measles (New Cases),Summer,,,,,7
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_RHC Bhara kahu_RHC Bhara kahu,Measles (New Cases),Autumn,0.23529411764705882,0.5622957145383871,1.9221812612622202,2.2033291185314137,17
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_RHC Bhara kahu_RHC Bhara kahu,Measles (New Cases),Spring,0.17857142857142858,0.3900210277874798,1.348634511933868,1.543645025827608,28
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_RHC Bhara kahu_RHC Bhara kahu,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,35
Islamabad Capital Territory_Islamabad - ICT_ICT_Bhara kahu_RHC Bhara kahu_RHC Bhara kahu,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,40
Islamabad Capital Territory_Islamabad - ICT_ICT_Chirrah_BHU Chirrah_BHU Chirrah,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Chirrah_BHU Chirrah_BHU Chirrah,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Chirrah_BHU Chirrah_BHU Chirrah,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,39
Islamabad Capital Territory_Islamabad - ICT_ICT_Chirrah_BHU Chirrah_BHU Chirrah,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,41
Islamabad Capital Territory_Islamabad - ICT_ICT_Gokina_BHU Gokina_BHU Gokina,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Gokina_BHU Gokina_BHU Gokina,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,22
Islamabad Capital Territory_Islamabad - ICT_ICT_Gokina_BHU Gokina_BHU Gokina,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,29
Islamabad Capital Territory_Islamabad - ICT_ICT_Gokina_BHU Gokina_BHU Gokina,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,35
Islamabad Capital Territory_Islamabad - ICT_ICT_Golra_BHU Golra_BHU Golra,Measles (New Cases),Autumn,0.058823529411764705,0.24253562503633297,0.7864304045207636,0.90769821703893,17
Islamabad Capital Territory_Islamabad - ICT_ICT_Golra_BHU Golra_BHU Golra,Measles (New Cases),Spring,0.03571428571428571,0.1889822365046136,0.6026609952281264,0.6971521134804333,28
Islamabad Capital Territory_Islamabad - ICT_ICT_Golra_BHU Golra_BHU Golra,Measles (New Cases),Summer,0.02857142857142857,0.1690308509457033,0.5356639814085385,0.6201794068813902,35
Islamabad Capital Territory_Islamabad - ICT_ICT_Golra_BHU Golra_BHU Golra,Measles (New Cases),Winter,0.09523809523809523,0.4843665115774899,1.5483376299705651,1.7905208857593098,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Bhimber Tarar_BHU Bhimber Tarar,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Bhimber Tarar_BHU Bhimber Tarar,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Bhimber Tarar_BHU Bhimber Tarar,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,37
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Bhimber Tarar_BHU Bhimber Tarar,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,41
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Jhang Syedan_BHU Jhang Syedan,Measles (New Cases),Autumn,0.17647058823529413,0.3929526239966879,1.355328460225358,1.5518047722237018,17
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Jhang Syedan_BHU Jhang Syedan,Measles (New Cases),Spring,0.06666666666666667,0.2537081317024624,0.8277910617740539,0.9546451276252852,30
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Jhang Syedan_BHU Jhang Syedan,Measles (New Cases),Summer,0.05263157894736842,0.22629428592141426,0.7315144367116111,0.8446615796723183,38
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_BHU Jhang Syedan_BHU Jhang Syedan,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,43
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_CHC Kirpa_CHC Kirpa,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,18
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_CHC Kirpa_CHC Kirpa,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,30
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_CHC Kirpa_CHC Kirpa,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,38
Islamabad Capital Territory_Islamabad - ICT_ICT_Kirpa_CHC Kirpa_CHC Kirpa,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,44
Islamabad Capital Territory_Islamabad - ICT_ICT_Koral_BHU Bhukkar_BHU Bhukkar,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,17
Islamabad Capital Territory_Islamabad - ICT_ICT_Koral_BHU Bhukkar_BHU Bhukkar,Measles (New Cases),Spring,0.0625,0.3535533905932738,1.1231601717798214,1.2999368670764582,32
Islamabad Capital Territory_Islamabad - ICT_ICT_Koral_BHU Bhukkar_BHU Bhukkar,Measles (New Cases),Summer,0.07692307692307693,0.48038446141526153,1.5180764611688615,1.7582686918764923,39
Islamabad Capital Territory_Islamabad - ICT_ICT_Koral_BHU Bhukkar_BHU Bhukkar,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,41
Islamabad Capital Territory_Islamabad - ICT_ICT_Kurri_BHU Jagiot_BHU Jagiot,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,19
Islamabad Capital Territory_Islamabad - ICT_ICT_Kurri_BHU Jagiot_BHU Jagiot,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,30
Islamabad Capital Territory_Islamabad - ICT_ICT_Kurri_BHU Jagiot_BHU Jagiot,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,43
Islamabad Capital Territory_Islamabad - ICT_ICT_Kurri_BHU Jagiot_BHU Jagiot,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Phulgaran_BHU Phulgaran,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Phulgaran_BHU Phulgaran,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Phulgaran_BHU Phulgaran,Measles (New Cases),Summer,0.027777777777777776,0.16666666666666666,0.5277777777777778,0.611111111111111,36
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Phulgaran_BHU Phulgaran,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Pindbegwal_BHU Pindbegwal,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Pindbegwal_BHU Pindbegwal,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Pindbegwal_BHU Pindbegwal,Measles (New Cases),Summer,0.17142857142857143,0.7065123239304082,2.2909655432197957,2.644221705185,35
Islamabad Capital Territory_Islamabad - ICT_ICT_Phulgaran_BHU Pindbegwal_BHU Pindbegwal,Measles (New Cases),Winter,0.13636363636363635,0.9045340337332912,2.84996573756351,3.3022327544301553,44
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CD Humak_CD Humak,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CD Humak_CD Humak,Measles (New Cases),Spring,0.03125,0.1767766952966369,0.5615800858899107,0.6499684335382291,32
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CD Humak_CD Humak,Measles (New Cases),Summer,0.027777777777777776,0.16666666666666666,0.5277777777777778,0.611111111111111,36
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CD Humak_CD Humak,Measles (New Cases),Winter,0.022727272727272728,0.1507556722888818,0.4749942895939181,0.5503721257383589,44
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CHC Rawat_CHC Rawat,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,17
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CHC Rawat_CHC Rawat,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CHC Rawat_CHC Rawat,Measles (New Cases),Summer,0.058823529411764705,0.23883257361061286,0.7753212502436033,0.8947375370489097,34
Islamabad Capital Territory_Islamabad - ICT_ICT_Rawat_CHC Rawat_CHC Rawat,Measles (New Cases),Winter,0.05128205128205128,0.22345586503095896,0.7216496463749282,0.8333775788904076,39
Islamabad Capital Territory_Islamabad - ICT_ICT_Shah Allah Dita_CHC Shah Allah Dita_CHC Shah Allah Dita,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,21
Islamabad Capital Territory_Islamabad - ICT_ICT_Shah Allah Dita_CHC Shah Allah Dita_CHC Shah Allah Dita,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,29
Islamabad Capital Territory_Islamabad - ICT_ICT_Shah Allah Dita_CHC Shah Allah Dita_CHC Shah Allah Dita,Measles (New Cases),Summer,0.04878048780487805,0.21808478995509087,0.7030348576701507,0.8120772526476961,41
Islamabad Capital Territory_Islamabad - ICT_ICT_Shah Allah Dita_CHC Shah Allah Dita_CHC Shah Allah Dita,Measles (New Cases),Winter,0.045454545454545456,0.3015113445777636,0.9499885791878362,1.1007442514767178,44
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_BHU Gagri_BHU Gagri,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_BHU Gagri_BHU Gagri,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_BHU Gagri_BHU Gagri,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_BHU Gagri_BHU Gagri,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_RHC Sihala_RHC Sihala,Measles (New Cases),Autumn,0.0625,0.25,0.8125,0.9375,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_RHC Sihala_RHC Sihala,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,28
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_RHC Sihala_RHC Sihala,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,37
Islamabad Capital Territory_Islamabad - ICT_ICT_Sihala_RHC Sihala_RHC Sihala,Measles (New Cases),Winter,0.02631578947368421,0.16222142113076254,0.5129800528659718,0.5940907634313531,38
Islamabad Capital Territory_Islamabad - ICT_ICT_Sohan_BHU Sohan_BHU Sohan,Measles (New Cases),Autumn,0.125,0.3415650255319866,1.1496950765959597,1.3204775893619531,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Sohan_BHU Sohan_BHU Sohan,Measles (New Cases),Spring,0.03225806451612903,0.1796053020267749,0.5710739705964537,0.6608766216098412,31
Islamabad Capital Territory_Islamabad - ICT_ICT_Sohan_BHU Sohan_BHU Sohan,Measles (New Cases),Summer,0.058823529411764705,0.23883257361061286,0.7753212502436033,0.8947375370489097,34
Islamabad Capital Territory_Islamabad - ICT_ICT_Sohan_BHU Sohan_BHU Sohan,Measles (New Cases),Winter,0.023809523809523808,0.15430334996209188,0.48671957369579943,0.5638712486768455,42
Islamabad Capital Territory_Islamabad - ICT_ICT_Tarlai_RHC Tarlai_RHC Tarlai,Measles (New Cases),Autumn,0.19047619047619047,0.40237390808147827,1.3975979147206252,1.5987848687613644,21
Islamabad Capital Territory_Islamabad - ICT_ICT_Tarlai_RHC Tarlai_RHC Tarlai,Measles (New Cases),Spring,0.2222222222222222,0.6979824404521128,2.3161695435785608,2.665160763804617,27
Islamabad Capital Territory_Islamabad - ICT_ICT_Tarlai_RHC Tarlai_RHC Tarlai,Measles (New Cases),Summer,0.2564102564102564,0.44235903005475674,1.5834873465745267,1.804666861601905,39
Islamabad Capital Territory_Islamabad - ICT_ICT_Tarlai_RHC Tarlai_RHC Tarlai,Measles (New Cases),Winter,0.07894736842105263,0.2732763127330939,0.8987763066203343,1.0354144629868811,38
Islamabad Capital Territory_Islamabad - ICT_ICT_Tarnol_CHH Tarnol_CHH Tarnol,Measles (New Cases),Summer,,,,,8
Islamabad Capital Territory_Islamabad - ICT_ICT_Tumair_BHU Tumair_BHU Tumair,Measles (New Cases),Autumn,0.0,0.0,0.0,0.0,16
Islamabad Capital Territory_Islamabad - ICT_ICT_Tumair_BHU Tumair_BHU Tumair,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,32
Islamabad Capital Territory_Islamabad - ICT_ICT_Tumair_BHU Tumair_BHU Tumair,Measles (New Cases),Summer,0.0,0.0,0.0,0.0,37
Islamabad Capital Territory_Islamabad - ICT_ICT_Tumair_BHU Tumair_BHU Tumair,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,43
Islamabad Capital Territory_Islamabad - ICT_ICT_UC G13_CHC G-13_CHC G-13,Measles (New Cases),Autumn,,,,,9
Islamabad Capital Territory_Islamabad - ICT_ICT_UC G13_CHC G-13_CHC G-13,Measles (New Cases),Spring,0.0,0.0,0.0,0.0,22
Islamabad Capital Territory_Islamabad - ICT_ICT_UC G13_CHC G-13_CHC G-13,Measles (New Cases),Summer,0.045454545454545456,0.21320071635561041,0.6850566945213766,0.7916570526991819,22
Islamabad Capital Territory_Islamabad - ICT_ICT_UC G13_CHC G-13_CHC G-13,Measles (New Cases),Winter,0.0,0.0,0.0,0.0,33
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Chickenpox/ Varicella (New cases),Autumn,0.0,0.0,0.0,0.0,17
Islamabad Capital Territory_Islamabad - CDA_Islamabad - CDA_Islamabad - CDA_F-11_F-11,Chickenpox/ Varicella (New cases),Spring,0.0,0.0,0.0,0.0,32
